Stream,Color
Metadata Attribute,Value
Frame Counter,141
Frame Timestamp,516322472
Sensor Timestamp,516322389
Auto Exposure,1
Time Of Arrival,1749676931983
Backend Timestamp,1749676931953
Actual Fps,29975
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
