Stream,Color
Metadata Attribute,Value
Frame Counter,298
Frame Timestamp,521559992
Sensor Timestamp,521559909
Auto Exposure,1
Time Of Arrival,1749676937220
Backend Timestamp,1749676937190
Actual Fps,29949
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
