Stream,Depth
Metadata Attribute,Value
Frame Counter,75
Frame Timestamp,514220774
Sensor Timestamp,514213904
Actual Exposure,13740
Gain Level,16
Auto Exposure,1
Time Of Arrival,1749676929857
Backend Timestamp,1749676929849
Actual Fps,29991
Frame Laser Power,150
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,251
Sequence Name,0
Sequence Id,0
Sequence Size,0
