Stream,Color
Metadata Attribute,Value
Frame Counter,251
Frame Timestamp,519992072
Sensor Timestamp,519991989
Auto Exposure,1
Time Of Arrival,1749676935652
Backend Timestamp,1749676935621
Actual Fps,29978
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
