Stream,Color
Metadata Attribute,Value
Frame Counter,78
Frame Timestamp,514220792
Sensor Timestamp,514220709
Auto Exposure,1
Time Of Arrival,1749676929881
Backend Timestamp,1749676929850
Actual Fps,29991
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
