Stream,Color
Metadata Attribute,Value
Frame Counter,47
Frame Timestamp,513186632
Sensor Timestamp,513186549
Auto Exposure,1
Time Of Arrival,1749676928847
Backend Timestamp,1749676928816
Actual Fps,30083
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
