Stream,Color
Metadata Attribute,Value
Frame Counter,126
Frame Timestamp,515822072
Sensor Timestamp,515821989
Auto Exposure,1
Time Of Arrival,1749676931483
Backend Timestamp,1749676931452
Actual Fps,29980
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
