Stream,Color
Metadata Attribute,Value
Frame Counter,314
Frame Timestamp,522093752
Sensor Timestamp,522093669
Auto Exposure,1
Time Of Arrival,1749676937754
Backend Timestamp,1749676937724
Actual Fps,29968
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
