Stream,Color
Metadata Attribute,Value
Frame Counter,30
Frame Timestamp,473030721
Sensor Timestamp,473030638
Auto Exposure,1
Time Of Arrival,1749676463190
Backend Timestamp,1749676463160
Actual Fps,30010
Brightness,0
Contrast,50
Saturation,64
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,0
Hue,0
Gamma,300
Manual White Balance,4600
Power Line Frequency,3
Low Light Compensation,0
Raw Frame Size,614400
